가입연도,가입당시연령,계약자 소재지(시군구),면적,지목,월지급금(원)
2013,60대,강원특별자치도 고성군 거진읍 ,4833,답,150390
2025,60대,강원특별자치도 고성군 거진읍 반암리,3106,답,1440700
2011,70대,강원특별자치도 고성군 거진읍 자산리,12321,"답,전",720980
2019,60대,강원특별자치도 고성군 거진읍 초계리,1482,전,242750
2012,80대,강원특별자치도 고성군 죽왕면 ,565,답,59590
2013,70대,강원특별자치도 고성군 죽왕면 ,1851,답,30910
2016,80대,강원특별자치도 고성군 죽왕면 문암진리,1027,답,105090
2012,60대,강원특별자치도 고성군 토성면 ,840,전,68490
2013,60대,강원특별자치도 고성군 토성면 ,426,답,22210
2014,70대,강원특별자치도 고성군 토성면 도원리,4353,답,115810
2012,80대,강원특별자치도 고성군 토성면 성대리,13010,답,736050
2024,60대,강원특별자치도 고성군 토성면 용암리,5946,답,1406040
2018,70대,강원특별자치도 고성군 토성면 용촌리,1762,답,441000
2018,70대,강원특별자치도 고성군 토성면 용촌리,783,답,196000
2018,70대,강원특별자치도 고성군 토성면 용촌리,2727,답,682590
2022,60대,강원특별자치도 고성군 토성면 용촌리,6031,"답,전",2116510
2023,60대,강원특별자치도 고성군 토성면 운봉리,19377,답,1830200
2014,90대,강원특별자치도 고성군 토성면 원암리,9972,"답,전",1233340
2015,70대,강원특별자치도 고성군 토성면 원암리,1395,전,2014390
2024,70대,강원특별자치도 고성군 토성면 원암리,1770,"답,전",1493830
2024,70대,강원특별자치도 고성군 토성면 학야리,9189,답,2296710
2012,70대,강원특별자치도 고성군 현내면 마차진리,169,답,13860
2021,60대,강원특별자치도 동해시 괴란동 ,7514,답,2642560
2014,70대,강원특별자치도 동해시 단봉동 ,2841,전,1434760
2014,70대,강원특별자치도 동해시 단봉동 ,3977,답,946760
2023,60대,강원특별자치도 동해시 대구동 ,3465,전,1693530
2025,60대,강원특별자치도 동해시 동회동 ,768,답,630920
2018,60대,강원특별자치도 동해시 묵호진동 ,979,답,112580
2018,60대,강원특별자치도 동해시 묵호진동 ,2955,답,346100
2018,60대,강원특별자치도 동해시 묵호진동 ,1464,답,171470
2018,60대,강원특별자치도 동해시 묵호진동 ,4133,답,669540
2020,60대,강원특별자치도 동해시 발한동 ,1463,전,949120
2023,70대,강원특별자치도 동해시 발한동 ,357,전,676030
2018,60대,강원특별자치도 동해시 북평동 ,3907,답,408230
2014,80대,강원특별자치도 동해시 쇄운동 ,3696,"답,전",1200840
2014,80대,강원특별자치도 동해시 쇄운동 ,112,전,133210
2012,60대,강원특별자치도 동해시 이로동 ,100,전,34860
2019,70대,강원특별자치도 동해시 이로동 ,4198,답,3000000
2014,70대,강원특별자치도 동해시 지가동 ,2262,전,1161200
2016,80대,강원특별자치도 동해시 지가동 ,1184,전,699250
2016,70대,강원특별자치도 동해시 지가동 ,3514,답,1017990
2018,60대,강원특별자치도 동해시 지가동 ,10422,전,1141510
2020,80대,강원특별자치도 동해시 지가동 ,728,전,356330
2023,80대,강원특별자치도 동해시 지흥동 ,5382,전,2129040
2013,70대,강원특별자치도 동해시 천곡동 ,807,전,55200
2018,60대,강원특별자치도 동해시 천곡동 ,2327,답,683260
2024,70대,강원특별자치도 동해시 천곡동 ,2293,답,1375480
2021,60대,강원특별자치도 동해시 초구동 ,5039,답,1811060
2021,60대,강원특별자치도 동해시 초구동 ,3027,답,720530
2015,80대,강원특별자치도 삼척시 가곡면 풍곡리,7860,전,509920
2020,80대,강원특별자치도 삼척시 근덕면 교곡리,1408,전,275910
2022,70대,강원특별자치도 삼척시 근덕면 궁촌리,5544,답,903220
2025,60대,강원특별자치도 삼척시 근덕면 동막리,9960,전,954540
2015,60대,강원특별자치도 삼척시 근덕면 장호리,11583,"답,전",1166830
2011,70대,강원특별자치도 삼척시 남양동 ,3812,전,1007620
2022,60대,강원특별자치도 삼척시 남양동 ,1322,전,941640
2022,70대,강원특별자치도 삼척시 남양동 ,4703,전,643190
2023,80대,강원특별자치도 삼척시 남양동 ,2999,답,927220
2023,70대,강원특별자치도 삼척시 남양동 ,4186,전,1193350
